00000000-0000;13Sudo37;password;Admin
19150829-1234;25InBe01;pass123;Student
19050918-1234;25GrGa01;pass123;Student
19760825-1234;25AlSk01;pass123;Student
19881003-1234;25AlVi01;pass123;Student
18881118-1234;25GuMo01;pass123;Student
19290410-1234;25Syvo01;pass123;Student
19750930-1234;25MaCo01;pass123;Student
19431022-1234;25CaDe01;pass123;Student
19481227-1234;25GéDe01;pass123;Student
19640309-1234;25JuBi01;pass123;Student
19760809-1234;25AuTa01;pass123;Student
19340928-1234;25BrBa01;pass123;Student
19480730-1234;25JeRe01;pass123;Student
19351108-1234;25AlDe01;pass123;Student
19530316-1234;25IsHu01;pass123;Student
19850701-1234;25LéSe01;pass123;Student
19330314-1234;25MiCa01;pass123;Student
19751005-1234;25KaWi01;pass123;Student
19680302-1234;25DaCr01;pass123;Student
19341209-1234;25JuDe01;pass123;Student
19370130-1234;25VaRe01;pass123;Student
19740130-1234;25ChBa01;pass123;Student
19450726-1234;25HeMi01;pass123;Student
19580321-1234;25GaOl01;pass123;Student
19460221-1234;25AlRi01;pass123;Student
19660526-1234;25CaBo01;pass123;Student
19760715-1234;25DiKr01;pass123;Student
19561004-1234;25ChWa01;pass123;Student
19631219-1234;25TiSc01;pass123;Student
19770402-1234;25MiFa01;pass123;Student
19261018-1234;25KlKi01;pass123;Student
19020822-1234;25LeRi01;pass123;Student
19431225-1234;25HaSc01;pass123;Student
19430622-1234;25KlBr01;pass123;Student
19500202-1234;25BaSu01;pass123;Student
19780616-1234;25DaBr01;pass123;Student
19690301-1234;25JaBa01;pass123;Student
19740428-1234;25PeCr01;pass123;Student
19600810-1234;25AnBa01;pass123;Student
19490925-1234;25PeAl01;pass123;Student
19320104-1234;25CaSa01;pass123;Student
19680701-1234;25JoMo01;pass123;Student
19551021-1234;25AlIg01;pass123;Student
19010804-1234;25LoAr01;pass123;Student
19260526-1234;25MiDa01;pass123;Student
19260923-1234;25JoCo01;pass123;Student
18990429-1234;25DuEl01;pass123;Student
19170425-1234;25ElFi01;pass123;Student
19150407-1234;25BiHo01;pass123;Student
19200829-1234;25ChPa01;pass123;Student
19171021-1234;25DiGi01;pass123;Student
19171010-1234;25ThMo01;pass123;Student
19201206-1234;25DaBr01;pass123;Student
19220422-1234;25ChMi01;pass123;Student
19270202-1234;25StGe01;pass123;Student
19290816-1234;25BiEv01;pass123;Student
19191011-1234;25ArBl01;pass123;Student
19300907-1234;25SoRo01;pass123;Student
19410612-1234;25ChCo01;pass123;Student
19400412-1234;25HeHa01;pass123;Student
19330825-1234;25WaSh01;pass123;Student
19450508-1234;25KeJa01;pass123;Student
19540812-1234;25PaMe01;pass123;Student
